Date,Price,Change %,VIX Level,Average VIX Level,VIX Level Squared,Recent Volatility,Average Recent Volatility,Next Realized Volatility,Average Next Realized Volatility,VIX Premium,Average VIX Premium,MR Volatility,MR Volatility Squared,Difference,Average Difference,Squared Difference,Variance Premium,EVIX,DTM,Volatility Premium,MR Adjustment,VCR,Average VCR,CHECK,% Change Recent Volatility,Average % Change Recent Volatility,VCR Performance,Average VCR Performance,VIX Performance,Average VIX Performance
1990-01-03,358.80,-0.25,18.19,,330.88,,,15.48,,2.71,,,,,,,,,,,,,,,,,,,,
1990-01-04,355.70,-0.86,19.22,,369.41,,,15.7,,3.52,,,,,,,,,,,,,,,,,,,,
1990-01-05,352.20,-0.98,20.11,,404.41,,,15.59,,4.52,,,,,,,,,,,,,,,,,,,,
1990-01-08,353.80,0.45,20.26,,410.47,,,15.86,,4.4,,,,,,,,,,,,,,,,,,,,
1990-01-09,349.60,-1.19,22.2,,492.84,,,15.61,,6.59,,,,,,,,,,,,,,,,,,,,
1990-01-10,347.30,-0.66,22.44,,503.55,,,15.6,,6.84,,,,,,,,,,,,,,,,,,,,
1990-01-11,348.50,0.35,20.05,,402.0,,,15.53,,4.52,,,,,,,,,,,,,,,,,,,,
1990-01-12,339.90,-2.47,24.64,,607.13,,,14.74,,9.9,,,,,,,,,,,,,,,,,,,,
1990-01-15,337.00,-0.85,26.34,,693.8,,,14.67,,11.67,,,,,,,,,,,,,,,,,,,,
1990-01-16,340.80,1.13,24.18,,584.67,,,14.33,,9.85,,,,,,,,,,,,,,,,,,,,
1990-01-17,337.40,-1.0,24.16,,583.71,,,14.09,,10.07,,,,,,,,,,,,,,,,,,,,
1990-01-18,338.20,0.24,24.34,,592.44,,,14.3,,10.04,,,,,,,,,,,,,,,,,,,,
1990-01-19,339.10,0.27,22.5,,506.25,,,14.34,,8.16,,,,,,,,,,,,,,,,,,,,
1990-01-22,330.40,-2.57,26.7,,712.89,,,12.7,,14.0,,,,,,,,,,,,,,,,,,,,
1990-01-23,331.60,0.36,24.72,,611.08,,,12.71,,12.01,,,,,,,,,,,,,,,,,,,,
1990-01-24,330.30,-0.39,25.39,,644.65,,,12.93,,12.46,,,,,,,,,,,,,,,,,,,,
1990-01-25,326.10,-1.27,25.63,,656.9,,,12.51,,13.12,,,,,,,,,,,,,,,,,,,,
1990-01-26,325.80,-0.09,26.28,,690.64,,,12.5,,13.78,,,,,,,,,,,,,,,,,,,,
1990-01-29,325.20,-0.18,26.44,,699.07,,,12.76,,13.68,,,,,,,,,,,,,,,,,,,,
1990-01-30,323.00,-0.68,27.25,,742.56,,,12.54,,14.71,,,,,,,,,,,,,,,,,,,,
1990-01-31,329.10,1.89,25.36,,643.13,,,11.43,,13.93,,,,,,,,,,,,,,,,,,,,
1990-02-01,328.80,-0.09,24.87,,618.52,,,11.79,,13.08,,,,,,,,,,,,,,,,,,,,
1990-02-02,330.90,0.64,24.32,,591.46,,,11.74,,12.58,,,,,,,,,,,,,,,,,,,,
1990-02-05,331.90,0.3,24.54,,602.21,,,11.89,,12.65,,,,,,,,,,,,,,,,,,,,
1990-02-06,329.70,-0.66,24.69,,609.6,,,11.83,,12.86,,,,,,,,,,,,,,,,,,,,
1990-02-07,333.80,1.24,24.29,,590.0,,,11.89,,12.4,,,,,,,,,,,,,,,,,,,,
1990-02-08,333.00,-0.24,23.77,,565.01,,,11.93,,11.84,,,,,,,,,,,,,,,,,,,,
1990-02-09,333.60,0.18,23.69,,561.22,,,11.92,,11.77,,,,,,,,,,,,,,,,,,,,
1990-02-12,330.10,-1.05,24.38,,594.38,,,11.88,,12.5,,,,,,,,,,,,,,,,,,,,
1990-02-13,331.00,0.27,23.76,,564.54,15.39,,11.88,,11.88,,15.47,239.38,8.29,,325.16,152.28,19.79,3.97,4.32,0.08,4.05,4.05,171.72,3.52,3.52,0.53,,20.24,
1990-02-14,332.00,0.3,22.05,,486.2,15.48,,11.94,,10.11,,15.53,241.21,6.52,,244.99,153.35,19.86,2.19,4.33,0.05,2.23,2.23,171.06,3.55,3.55,1.31,,18.5,
1990-02-15,334.90,0.87,19.71,,388.48,15.7,,11.74,,7.97,,15.68,245.8,4.03,,142.68,156.02,20.05,-0.34,4.37,-0.03,-0.36,-0.36,171.36,3.96,3.96,4.33,,15.75,
1990-02-16,332.70,-0.66,20.78,,431.81,15.59,,11.61,,9.17,,15.6,243.48,5.18,,188.33,154.67,19.95,0.83,4.35,0.01,0.84,0.84,171.1,3.98,3.98,3.14,,16.8,
1990-02-20,328.00,-1.41,22.78,,518.93,15.86,,11.42,,11.36,,15.78,249.12,7.0,,269.8,157.95,20.18,2.6,4.39,-0.08,2.52,2.52,176.34,4.45,4.45,1.92,,18.33,
1990-02-21,327.70,-0.09,23.89,,570.73,15.61,,11.68,,12.21,,15.62,243.92,8.27,,326.81,154.92,19.97,3.92,4.35,0.0,3.92,3.92,174.46,3.93,3.93,0.01,,19.96,
1990-02-22,325.70,-0.61,22.54,,508.05,15.6,,11.5,,11.04,,15.61,243.68,6.93,,264.37,154.78,19.96,2.58,4.35,0.01,2.59,2.59,172.97,4.1,4.1,1.52,,18.44,
1990-02-23,324.10,-0.49,23.69,,561.22,15.53,,11.38,,12.31,,15.56,242.19,8.13,,319.02,153.92,19.9,3.79,4.34,0.03,3.82,3.82,173.27,4.15,4.15,0.33,,19.54,
1990-02-26,328.70,1.42,23.56,,555.07,14.74,,10.77,,12.79,,15.04,226.19,8.52,,328.89,144.61,19.26,4.3,4.22,0.3,4.6,4.6,163.95,3.98,3.98,0.62,,19.58,
1990-02-27,330.30,0.49,22.69,,514.84,14.67,,10.71,,11.98,,14.99,224.69,7.7,,290.15,143.74,19.19,3.5,4.2,0.32,3.82,3.82,162.22,3.95,3.95,0.14,,18.74,
1990-02-28,331.90,0.48,21.99,,483.56,14.33,,10.67,,11.32,,14.76,217.93,7.23,,265.63,139.81,18.91,3.08,4.15,0.44,3.51,3.51,157.65,3.65,3.65,0.14,,18.34,
1990-03-01,332.70,0.24,21.9,,479.61,14.09,,10.81,,11.09,,14.6,213.25,7.3,,266.36,137.09,18.72,3.18,4.11,0.52,3.7,3.7,154.87,3.28,3.28,0.42,,18.62,
1990-03-02,335.50,0.84,21.34,,455.4,14.3,,10.59,,10.75,,14.74,217.35,6.6,,238.05,139.47,18.89,2.45,4.15,0.45,2.9,2.9,156.66,3.71,3.71,0.81,,17.63,
